source_id,category,evidence_class,title,author_or_org,published_or_snapshot_date,accessed_utc,url_or_path,topic_id,scope,key_claim,claimed_method,deck_archetype,compute_sample,evaluation,claimed_rank_score,reproducibility,comments_reviewed,confidence_tier,contradictions_limitations
P011,project,Verified project fact,g2-gate-report.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/gates/g2-gate-report.json,,Primary project evidence,G2 architecture/reliability gate PASS; no strength claim.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P012,project,Verified project fact,g3a-gate-report.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/gates/g3a-gate-report.json,,Primary project evidence,Toy PPO correctness qualification PASS.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P013,project,Verified project fact,g3b-gate-report.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/gates/g3b-gate-report.json,,Primary project evidence,G3b blocked/not reviewed; integration and launch evidence absent.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P014,project,Verified project fact,r1-gate-report.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/gates/r1-gate-report.json,,Primary project evidence,Lag-aligned semantic replay contract PASS on retained sample.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P015,project,Verified project fact,g2-neural-reliability-v1.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/evaluations/g2-neural-reliability-v1.json,,Primary project evidence,"10,000 games; 1,156,383 meaningful choices; zero reliability counters; 1.9768 games/s.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P016,project,Verified project fact,g2-policy-v1.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/artifacts/g2-policy-v1.json,,Primary project evidence,"970,022-parameter recurrent semantic policy receipt.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P017,project,Verified project fact,g2_policy_v1.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/configs/g2_policy_v1.json,,Primary project evidence,"Architecture widths, embeddings, transformer/GRU settings.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P018,project,Verified project fact,g3a_evaluation_v1.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/configs/g3a_evaluation_v1.json,,Primary project evidence,Strict toy/evaluation contract; forbids strength claim.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P019,project,Verified project fact,g3b_competence_plan_v1.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/configs/g3b_competence_plan_v1.json,,Primary project evidence,"Frozen PPO-first plan, exact budgets, disabled BC/search/reward shaping.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P020,project,Verified project fact,actions.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g1/actions.py,,Primary project evidence,Ordered unique without-replacement multi-select and STOP probability contract.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P021,project,Verified project fact,environment.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g1/environment.py,,Primary project evidence,"One battle per environment, terminal ordering, fail-closed training and submission fallback.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P022,project,Verified project fact,recurrent.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g1/recurrent.py,,Primary project evidence,Recurrent ownership/version ledger and stale/out-of-order checks.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P023,project,Verified project fact,projection.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g2/projection.py,,Primary project evidence,Public-state semantic projection; raw option index excluded.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P024,project,Verified project fact,network.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g2/network.py,,Primary project evidence,"Static card/entity transformer, event/public GRUs, value head, option scorer and STOP decoder.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P025,project,Verified project fact,ppo.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g3/ppo.py,,Primary project evidence,"Compound-action PPO replay, clipping/KL/value/entropy logic.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P026,project,Verified project fact,gae.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/g3/gae.py,,Primary project evidence,Terminal/truncation-aware GAE implementation.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P027,project,Verified project fact,semantic_loader.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/src/ptcg_rl/replay/semantic_loader.py,,Primary project evidence,Lag-aligned action/request mapping and action validation.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P028,project,Verified project fact,r1-replay-audit.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,project/reports/replays/r1-replay-audit.json,,Primary project evidence,"20 episodes; 2,999 decisions; 3,275 selected options; zero unresolved.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P029,project,Verified project fact,main.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,private_context/baselines/mega-lucario/main.py,,Primary project evidence,508-line tactical specialist rule policy and exact list.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P030,project,Verified project fact,main.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,private_context/baselines/mega-abomasnow/main.py,,Primary project evidence,267-line low-complexity Hammer-lanche policy.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P031,project,Verified project fact,main.py,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,private_context/baselines/dragapult-ex/main.py,,Primary project evidence,853-line spread-damage/prize-map planner and exact list.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P032,project,Verified project fact,kptcg-g3b-tpu-environment-v1.ipynb,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,private_context/kaggle/notebooks/kptcg-g3b-tpu-environment-v1.ipynb,,Primary project evidence,TPU environment qualification notebook; no competence training.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P033,project,Verified project fact,g3b-tpu-environment-input-v2.json,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,private_context/kaggle/g3b-tpu-environment-input-v2.json,,Primary project evidence,Repaired TPU input contract and fail-closed qualification.,,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
P034,project,Verified project fact,research_index.md,Project archive,2026-07-24 or earlier,2026-07-24T09:43:04Z,root_context/research-docs/research_index.md,,Primary project evidence,"July 16 forum snapshot: 146 current topics, 56 high-signal full reads and nested replies.",,,,,,Source retained; omitted-asset caveats apply,N/A,A,Narrative files were cross-checked against reports/configs/source where possible.
O001,official,Verified live fact,Pokémon TCG AI Battle Challenge official site,The Pokémon Company / organizers,2026-07-24 live,2026-07-24T09:43:04Z,https://ptcg-abc.pokemon.co.jp/,,Current rules/runtime/deadline/leaderboard access,Simulation deadline 2026-08-17 08:59 JST; five submissions/day; proprietary live rating; strategy deadline 2026-09-14 08:59 JST; about two weeks final evaluation.,,,,,,Public URL or archived connector snapshot,N/A,A,
O002,official,Verified live fact,Official FAQ,The Pokémon Company / organizers,2026-07-24 live,2026-07-24T09:43:04Z,https://ptcg-abc.pokemon.co.jp/faq/index.html,,Current rules/runtime/deadline/leaderboard access,"Dates, designated card pool, strategy judging/top-eight process; Kaggle rules prevail where applicable.",,,,,,Public URL or archived connector snapshot,N/A,A,
O003,official,Verified live fact,Kaggle competition overview,Kaggle / competition host,2026-07-24 attempted,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/overview,,Current rules/runtime/deadline/leaderboard access,Authoritative rules/evaluation/submission pages are dynamically rendered; current body could not be independently extracted anonymously.,,,,,,Public URL or archived connector snapshot,N/A,A,Kaggle dynamic pages and authenticated data prevented an independent same-minute leaderboard/full-forum refresh.
O004,official,Verified live fact,CABT API overview,Matsuo Institute / CABT,2026-07-24 live,2026-07-24T09:43:04Z,https://matsuoinstitute.github.io/cabt/api.html,,Current rules/runtime/deadline/leaderboard access,Public state and selection interfaces; variable legal options and native search structures.,,,,,,Public URL or archived connector snapshot,N/A,A,
O005,official,Verified live fact,CABT Simulation module,Matsuo Institute / CABT,2026-07-24 live,2026-07-24T09:43:04Z,https://matsuoinstitute.github.io/cabt/simulation.html,,Current rules/runtime/deadline/leaderboard access,Native simulator bindings and battle interaction surface.,,,,,,Public URL or archived connector snapshot,N/A,A,
O006,official,Verified live fact,Kaggle CLI competition commands,Kaggle,2026-07-24 live,2026-07-24T09:43:04Z,https://github.com/Kaggle/kaggle-cli/blob/main/docs/competitions.md,,Current rules/runtime/deadline/leaderboard access,"Official CLI supports leaderboard and discussion list sorted hot/top/new/recent/active, and full topic/comment tree display.",,,,,,Public URL or archived connector snapshot,N/A,A,
O007,official,Verified live fact,Kaggle CLI repository,Kaggle,2026-07-24 live,2026-07-24T09:43:04Z,https://github.com/Kaggle/kaggle-cli,,Current rules/runtime/deadline/leaderboard access,Official CLI browse/read forum capability; authentication is required for relevant competition calls.,,,,,,Public URL or archived connector snapshot,N/A,A,
O008,official,Verified live fact,Kaggle simulation competition CLI guide,Kaggle,2026-07-24 live,2026-07-24T09:43:04Z,https://github.com/Kaggle/kaggle-cli/blob/main/docs/simulation_competitions.md,,Current rules/runtime/deadline/leaderboard access,Simulation episode/replay/agent log workflow and submission operations.,,,,,,Public URL or archived connector snapshot,N/A,A,
O009,official,Provisional project measurement,July 24 leaderboard/quota connector snapshot,Project packager via Kaggle connector,2026-07-24,2026-07-24T09:43:04Z,05_LIVE_KAGGLE_SNAPSHOT_2026-07-24.json,,Current rules/runtime/deadline/leaderboard access,Top score 1198.0; rank 10 1115.6; rank 20 1102.1; GPU 24.358 h and TPU 18.425 h before refresh.,,,,,,Public URL or archived connector snapshot,N/A,B,Kaggle dynamic pages and authenticated data prevented an independent same-minute leaderboard/full-forum refresh.
O010,official,Verified live fact,Official Kaggle competition announcement,Kaggle,2026-07 public post; live access 2026-07-24,2026-07-24T09:43:04Z,https://www.linkedin.com/posts/kaggle_the-pok%C3%A9mon-company-ptcg-ai-battle-challenge-activity-7472997208372609024-u-Zd,,Current rules/runtime/deadline/leaderboard access,"Simulation entry deadline August 9, 2026; Strategy entry deadline September 6, 2026; participation in Strategy requires participation in Simulation.",,,,,,Public URL or archived connector snapshot,N/A,A,
F717697,kaggle_discussion,Forum report,Sharing my Reinforcement Learning journey,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717697,717697,RL and agent improvement,"Pure recurrent self-play/RL, curriculum, compact representation; reports high throughput, millions of games and eventual silver after bug fixes.",PPO/self-play + curriculum,multiple specialist/generalist,3-5M games claimed; ~7k steps/s and 45 games/s claimed,Local bots plus live ladder,silver claimed after fixes,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B,Existence proof only; no code/checkpoint/settled attribution in archive; survivorship and deck sensitivity.
F711644,kaggle_discussion,Forum report,RL/PPO/MCTS experience,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/711644,711644,RL and agent improvement,A Lucario clone reached high action agreement but poor teacher H2H; PPO with KL and search only partly recovered; separate Crustle hybrid report improved Elo.,"BC, PPO+KL, PUCT",Mega Lucario; Crustle,"66% combo match, ~10% teacher H2H, ~25% after PPO+KL; 10-rollout PUCT; +65 Elo Crustle report",Teacher H2H and local Elo,participant reports,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B,Contradictory outcomes across decks; multiple methods and selection effects.
F713608,kaggle_discussion,Forum report,"What We Tried, What Ceilinged",Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/713608,713608,RL and agent improvement,"Detailed negative results: native option order strong, card-ID transformer ceiling, BC/DAgger action accuracy failed on policy, search helped weak Alakazam but hurt strong Starmie.","BC/DAgger, transformer, PPO/search ablations",Alakazam; Starmie,BC/DAgger up to 99% action accuracy; H2H 28-41%; search +11.3 pp weak/-15.4 pp strong,Local controlled comparisons,not a settled leaderboard claim,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,A-,High signal but participant-defined harness; exact code/data not retained here.
F709414,kaggle_discussion,Forum report,"Rule-based, RL, or agentic RLed?",Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709414,709414,RL and agent improvement,"Full post and all available nested replies were reviewed in the archive synthesis for: Rule-based, RL, or agentic RLed?.",See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F709304,kaggle_discussion,Forum report,Kiyota RL/MCTS sample rerun,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709304,709304,RL and agent improvement,Public RL/MCTS sample reportedly improved locally then regressed; illustrates checkpoint selection instability.,RL/MCTS,unspecified,local 18% to 74% then ~60% report,Local rerun,no full submission proof,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B-,Reproducibility partial; no settled field result.
F726696,kaggle_discussion,Forum report,Heuristic vs RL performance,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/726696,726696,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Heuristic vs RL performance.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F712654,kaggle_discussion,Forum report,Card2vec embeddings for RL,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/712654,712654,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Card2vec embeddings for RL.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F715572,kaggle_discussion,Forum report,Attack damage lookup,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/715572,715572,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Attack damage lookup.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F721338,kaggle_discussion,Forum report,Boss's Orders and Ultra Ball decisions,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/721338,721338,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Boss's Orders and Ultra Ball decisions.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F711280,kaggle_discussion,Forum report,Universal vs deck-specific agent design,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/711280,711280,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Universal vs deck-specific agent design.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F709490,kaggle_discussion,Forum report,Lessons from previous card-game AI competitions,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709490,709490,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Lessons from previous card-game AI competitions.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F724637,kaggle_discussion,Forum report,RL/MCTS and mathematical theories,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724637,724637,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: RL/MCTS and mathematical theories.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F715117,kaggle_discussion,Forum report,Japanese no-RL progress report,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/715117,715117,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Japanese no-RL progress report.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F709974,kaggle_discussion,Forum report,Japanese AI progress,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709974,709974,RL and agent improvement,Full post and all available nested replies were reviewed in the archive synthesis for: Japanese AI progress.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F712119,kaggle_discussion,Forum report (host/organizer clarification),Self-play/human-play logs as external data,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/712119,712119,"Replay, supervision, and meta",Host clarification on self-generated/external gameplay logs and competition external-data constraints.,Data-use clarification,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,A,Official rules still override comments.
F716557,kaggle_discussion,Forum report,Episode JSON action/observation alignment,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/716557,716557,"Replay, supervision, and meta",Questions about replay action/observation lag alignment; supports mapping action at t to prior request.,Behavior cloning data alignment,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B,Question thread; project independently validates a lag-aligned contract.
F717279,kaggle_discussion,Forum report,Replay action alignment correction,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717279,717279,"Replay, supervision, and meta",Correction/clarification of replay action alignment.,Replay parsing,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B,"Must verify against raw episode bodies, omitted here."
F718783,kaggle_discussion,Forum report,Replay triage template,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/718783,718783,"Replay, supervision, and meta",Full post and all available nested replies were reviewed in the archive synthesis for: Replay triage template.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F717832,kaggle_discussion,Forum report,Replay log curation,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717832,717832,"Replay, supervision, and meta",Full post and all available nested replies were reviewed in the archive synthesis for: Replay log curation.,See archive synthesis,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,C,"Author, exact dates, compute, and rank were not retained in the compact synthesis; do not infer them."
F709160,kaggle_discussion,Forum report (host/organizer clarification),Daily Top Episodes datasets,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709160,709160,"Replay, supervision, and meta",Kaggle staff states daily top episodes are selected toward high average participant rating.,Dataset publication,,,,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,A,Explicit selection bias; not representative of hidden field.
F724362,kaggle_discussion,Forum report,"Analysis of 30,000 top-team games",Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/724362,724362,"Replay, supervision, and meta",Participant analyzed ~30k top-team games and inferred bounded search from timing patterns.,Timing/meta inference; possible model+search,,"30,000 games",Public replay timing analysis,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B,"Search use is inference, not disclosed fact; visible-top selection bias."
F709263,kaggle_discussion,Forum report,Daily public meta notes,Not retained in compact archive synthesis; host role noted where applicable,Read through 2026-07-16 snapshot,2026-07-24T09:43:04Z,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709263,709263,"Replay, supervision, and meta",Daily visible meta notes show rapid deck turnover.,Meta monitoring,Crustle/Lucario/Psychic/Starmie etc.,,Public episodes,,Full original and every available nested reply read by archived research process; source text not duplicated in bundle,YES—all available comments/nested replies as of 2026-07-16,B-,"Small, selected daily samples; nonstationary."
